"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23429","test_delete_and_validate","tests.integration","2026-06-13","passed","2026-06-13","","test_delete_and_validate","",""
"","571","test_invalid_create_note","tests.api","2026-06-13","passed","2026-06-13","","test_create_note_api","",""
"","9971","test_delete_note","tests.ui","2026-06-13","passed","2026-06-13","","test_delete_note","",""
"","1452","test_valid_edit_note","tests.api","2026-06-13","passed","2026-06-13","","test_edit_note_api","",""
"","7909","test_invalid_login","tests.ui","2026-06-13","passed","2026-06-13","","test_login","",""
"","10069","test_validate_note","tests.integration","2026-06-13","passed","2026-06-13","","test_validate_note","",""
"","62560","test_valid_create_note","tests.ui","2026-06-13","passed","2026-06-13","","test_create_note","",""
"","11433","test_invalid_create_note","tests.ui","2026-06-13","passed","2026-06-13","","test_create_note","",""
"","13462","test_invalid_edit_note","tests.ui","2026-06-13","passed","2026-06-13","","test_edit_note","",""
"","7223","test_valid_login","tests.ui","2026-06-13","passed","2026-06-13","","test_login","",""
"","920","test_invalid_edit_note","tests.api","2026-06-13","passed","2026-06-13","","test_edit_note_api","",""
"","14800","test_valid_edit_note","tests.ui","2026-06-13","passed","2026-06-13","","test_edit_note","",""
"","57715","test_delete_and_validate","","2026-06-13","passed","2026-06-13","","","",""
"","834","test_get_all_notes","tests.api","2026-06-13","passed","2026-06-13","","test_get_notes_api","",""
"","587","test_valid_create_note","tests.api","2026-06-13","passed","2026-06-13","","test_create_note_api","",""
"","1255","test_edit_note","tests.api","2026-06-13","passed","2026-06-13","","test_edit_note_api","",""
